team_name,train_number,left_right,frame_number,wagon,uic_0_1,uic_label
kosmicznispawacze,37,left,0,0,locomotive,0
kosmicznispawacze,37,left,1,0,locomotive,0
kosmicznispawacze,37,left,2,0,locomotive,0
kosmicznispawacze,37,left,3,0,locomotive,0
kosmicznispawacze,37,left,4,0,locomotive,0
kosmicznispawacze,37,left,5,0,locomotive,0
kosmicznispawacze,37,left,6,0,locomotive,0
kosmicznispawacze,37,left,7,0,locomotive,0
kosmicznispawacze,37,left,8,0,locomotive,0
kosmicznispawacze,37,left,9,0,locomotive,0
kosmicznispawacze,37,left,10,0,locomotive,0
kosmicznispawacze,37,left,11,0,locomotive,0
kosmicznispawacze,37,left,12,0,locomotive,0
kosmicznispawacze,37,left,13,0,locomotive,0
kosmicznispawacze,37,left,14,0,locomotive,0
kosmicznispawacze,37,left,15,0,locomotive,0
kosmicznispawacze,37,left,16,0,locomotive,0
kosmicznispawacze,37,left,17,0,locomotive,0
kosmicznispawacze,37,left,18,0,locomotive,0
kosmicznispawacze,37,left,19,0,locomotive,0
kosmicznispawacze,37,left,20,0,locomotive,0
kosmicznispawacze,37,left,21,0,locomotive,0
kosmicznispawacze,37,left,22,0,locomotive,0
kosmicznispawacze,37,left,23,0,locomotive,0
kosmicznispawacze,37,left,24,0,locomotive,0
kosmicznispawacze,37,left,25,0,locomotive,0
kosmicznispawacze,37,left,26,0,locomotive,0
kosmicznispawacze,37,left,27,0,locomotive,0
kosmicznispawacze,37,left,28,0,locomotive,0
kosmicznispawacze,37,left,29,0,locomotive,0
kosmicznispawacze,37,left,30,0,locomotive,0
kosmicznispawacze,37,left,31,0,locomotive,0
kosmicznispawacze,37,left,32,0,locomotive,0
kosmicznispawacze,37,left,33,0,locomotive,0
kosmicznispawacze,37,left,34,0,locomotive,0
kosmicznispawacze,37,left,35,0,locomotive,0
kosmicznispawacze,37,left,36,0,locomotive,0
kosmicznispawacze,37,left,37,1,0,0
kosmicznispawacze,37,left,38,1,0,0
kosmicznispawacze,37,left,39,1,0,0
kosmicznispawacze,37,left,40,1,0,0
kosmicznispawacze,37,left,41,1,0,0
kosmicznispawacze,37,left,42,1,0,0
kosmicznispawacze,37,left,43,1,0,0
kosmicznispawacze,37,left,44,1,0,0
kosmicznispawacze,37,left,45,1,0,0
kosmicznispawacze,37,left,46,1,0,0
kosmicznispawacze,37,left,47,1,0,0
kosmicznispawacze,37,left,48,1,0,0
kosmicznispawacze,37,left,49,1,0,0
kosmicznispawacze,37,left,50,1,0,0
kosmicznispawacze,37,left,51,1,0,0
kosmicznispawacze,37,left,52,1,0,0
kosmicznispawacze,37,left,53,1,0,0
kosmicznispawacze,37,left,54,1,0,0
kosmicznispawacze,37,left,55,1,0,0
kosmicznispawacze,37,left,56,1,0,0
kosmicznispawacze,37,left,57,1,0,0
kosmicznispawacze,37,left,58,1,0,0
kosmicznispawacze,37,left,59,1,0,0
kosmicznispawacze,37,left,60,1,0,0
kosmicznispawacze,37,left,61,1,0,0
kosmicznispawacze,37,left,62,1,0,0
kosmicznispawacze,37,left,63,1,0,0
kosmicznispawacze,37,left,64,1,0,0
kosmicznispawacze,37,left,65,1,0,0
kosmicznispawacze,37,left,66,1,0,0
kosmicznispawacze,37,left,67,1,0,0
kosmicznispawacze,37,left,68,1,0,0
kosmicznispawacze,37,left,69,1,0,0
kosmicznispawacze,37,left,70,2,0,0
