team_name,train_number,left_right,frame_number,wagon,uic_0_1,uic_label
kosmicznispawacze,50,right,0,0,locomotive,0
kosmicznispawacze,50,right,1,0,locomotive,0
kosmicznispawacze,50,right,2,0,locomotive,0
kosmicznispawacze,50,right,3,0,locomotive,0
kosmicznispawacze,50,right,4,0,locomotive,0
kosmicznispawacze,50,right,5,0,locomotive,0
kosmicznispawacze,50,right,6,0,locomotive,0
kosmicznispawacze,50,right,7,0,locomotive,0
kosmicznispawacze,50,right,8,0,locomotive,0
kosmicznispawacze,50,right,9,0,locomotive,0
kosmicznispawacze,50,right,10,0,locomotive,0
kosmicznispawacze,50,right,11,0,locomotive,0
kosmicznispawacze,50,right,12,0,locomotive,0
kosmicznispawacze,50,right,13,0,locomotive,0
kosmicznispawacze,50,right,14,0,locomotive,0
kosmicznispawacze,50,right,15,0,locomotive,0
kosmicznispawacze,50,right,16,0,locomotive,0
kosmicznispawacze,50,right,17,0,locomotive,0
kosmicznispawacze,50,right,18,0,locomotive,0
kosmicznispawacze,50,right,19,0,locomotive,0
kosmicznispawacze,50,right,20,0,locomotive,0
kosmicznispawacze,50,right,21,0,locomotive,0
kosmicznispawacze,50,right,22,0,locomotive,0
kosmicznispawacze,50,right,23,0,locomotive,0
kosmicznispawacze,50,right,24,0,locomotive,0
kosmicznispawacze,50,right,25,0,locomotive,0
kosmicznispawacze,50,right,26,1,0,0
kosmicznispawacze,50,right,27,1,0,0
kosmicznispawacze,50,right,28,1,0,0
kosmicznispawacze,50,right,29,1,0,0
kosmicznispawacze,50,right,30,1,0,0
kosmicznispawacze,50,right,31,1,0,0
kosmicznispawacze,50,right,32,1,0,0
kosmicznispawacze,50,right,33,1,0,0
kosmicznispawacze,50,right,34,1,0,0
kosmicznispawacze,50,right,35,1,0,0
kosmicznispawacze,50,right,36,1,0,0
kosmicznispawacze,50,right,37,1,0,0
kosmicznispawacze,50,right,38,1,0,0
kosmicznispawacze,50,right,39,1,0,0
kosmicznispawacze,50,right,40,1,0,0
kosmicznispawacze,50,right,41,1,0,0
kosmicznispawacze,50,right,42,1,0,0
kosmicznispawacze,50,right,43,1,0,0
kosmicznispawacze,50,right,44,1,0,0
kosmicznispawacze,50,right,45,1,0,0
kosmicznispawacze,50,right,46,2,0,0
kosmicznispawacze,50,right,47,2,0,0
kosmicznispawacze,50,right,48,2,0,0
kosmicznispawacze,50,right,49,2,0,0
kosmicznispawacze,50,right,50,2,0,0
kosmicznispawacze,50,right,51,2,0,0
kosmicznispawacze,50,right,52,2,0,0
kosmicznispawacze,50,right,53,2,0,0
kosmicznispawacze,50,right,54,2,0,0
kosmicznispawacze,50,right,55,2,0,0
kosmicznispawacze,50,right,56,2,0,0
kosmicznispawacze,50,right,57,2,0,0
kosmicznispawacze,50,right,58,2,0,0
kosmicznispawacze,50,right,59,2,0,0
kosmicznispawacze,50,right,60,2,0,0
kosmicznispawacze,50,right,61,2,0,0
kosmicznispawacze,50,right,62,2,0,0
kosmicznispawacze,50,right,63,2,0,0
kosmicznispawacze,50,right,64,2,0,0
kosmicznispawacze,50,right,65,2,0,0
kosmicznispawacze,50,right,66,2,0,0
kosmicznispawacze,50,right,67,2,0,0
kosmicznispawacze,50,right,68,2,0,0
kosmicznispawacze,50,right,69,2,0,0
kosmicznispawacze,50,right,70,3,0,0
kosmicznispawacze,50,right,71,3,0,0
kosmicznispawacze,50,right,72,3,0,0
kosmicznispawacze,50,right,73,3,0,0
kosmicznispawacze,50,right,74,3,0,0
kosmicznispawacze,50,right,75,3,0,0
kosmicznispawacze,50,right,76,3,0,0
kosmicznispawacze,50,right,77,3,0,0
kosmicznispawacze,50,right,78,3,0,0
